,location,region,lat,lon,prediction,anger,disgust,fear,joy,neutral,sadness,surprise
0,`ajlun-20-jo,asia/amman,32.33385,35.75238,0.0,0.15747164478922193,0.013707583757720914,0.562638149806467,0.10838666345455789,0.10862412644422316,0.03252823635205478,0.016643587935266387
1,`ajlun-20-jo,asia/amman,32.33385,35.75238,1.0,0.1384385819526182,0.016308527950378494,0.5254955059248541,0.058550416347570675,0.20797860452232672,0.03480881436624456,0.018419537059704005
2,`ajman-02-ae,asia/dubai,25.41111,55.43504,0.0,0.11580098569199478,0.0047424301924826285,0.6727560768820128,0.06433855249810885,0.08870237147505801,0.031953095888799125,0.02170648451213944
3,`ajman-02-ae,asia/dubai,25.41111,55.43504,1.0,0.1370265607394091,0.008245237064393481,0.5937746846418741,0.0669829051477424,0.1439621926173901,0.02943277488100697,0.020575653198042637
4,`ar`ar-15-sa,asia/riyadh,30.97531,41.03808,0.0,0.12670921639021454,0.019092476332203765,0.7119856318069572,0.027176791715661154,0.0832840006847464,0.023745544257165276,0.00800633652609652
5,`ar`ar-15-sa,asia/riyadh,30.97531,41.03808,1.0,0.12487772796715313,0.002071181806940307,0.7448520974592028,0.028980856492801674,0.06139936205961227,0.02783434533767731,0.009984422737801908
6,`ibri-09-om,asia/muscat,23.22573,56.51572,0.0,0.07758706967542399,0.0037890443324372506,0.4387220313618007,0.27615860028984557,0.11118897132732067,0.040189372663300485,0.052364880856709914
7,`ibri-09-om,asia/muscat,23.22573,56.51572,1.0,0.03997960438951846,0.00126639071114668,0.39900979501505696,0.12580514417340355,0.30480367927035934,0.024538704574418514,0.10459667631890619
8,a coruna-58c-es,europe/madrid,43.37135,-8.396,0.0,0.12452122613003709,0.011011701742598625,0.5056328018365863,0.0934777643543599,0.15911985027831213,0.05024874536027193,0.055987900902315646
9,a coruna-58c-es,europe/madrid,43.37135,-8.396,1.0,0.1454068227112066,0.004068704861174876,0.43413938661360624,0.11248152407702736,0.19439038349165405,0.03894597810827261,0.07056719775733018
10,aachen-07053-de,europe/berlin,50.77664,6.08342,0.0,0.13086118330182345,0.009480241611542395,0.44370639824792574,0.08161447582181477,0.2107416271459519,0.05955930860071844,0.0640367640694262
11,aachen-07053-de,europe/berlin,50.77664,6.08342,1.0,0.09971583940063133,0.002528830451616711,0.46291923570251553,0.09731214457852644,0.23030989165213248,0.0432764115272657,0.06393765568436699
12,aalborg-19851-dk,europe/copenhagen,57.048,9.9187,0.0,0.0686885289602818,0.0076015082760474036,0.4069451430345754,0.07349796665892862,0.3213473367340314,0.04160124307981693,0.0803182736026283
13,aalborg-19851-dk,europe/copenhagen,57.048,9.9187,1.0,0.38541051029012197,0.0018103701642638774,0.5817546800861448,0.0038691327646128443,0.003175820642377899,0.021003666636706896,0.002975827946110536
14,aba-45-ng,africa/lagos,5.10658,7.36667,0.0,0.06085894536226982,0.0021950615991954124,0.5046598347835243,0.05370767461135977,0.2286119127675192,0.09623966360231859,0.05372693139361215
15,aba-45-ng,africa/lagos,5.10658,7.36667,1.0,0.07780490950163865,0.0014242865177543443,0.28596153348270387,0.026262541392093695,0.5413780690481266,0.015071451922671618,0.05209717852994796
16,abadan-15-ir,asia/tehran,30.3392,48.3043,0.0,0.3263158100346724,0.00819360842773062,0.495800577600797,0.09224089067429303,0.05783435190096491,0.009565930254757367,0.010048857300231842
17,abadan-15-ir,asia/tehran,30.3392,48.3043,1.0,0.4338459074497223,0.0046795103698968,0.5463006496429443,0.0089013809338212,0.0011092220665886,0.0030650284606963,0.0020983584690839
18,abaetetuba-16-br,america/belem,-1.71806,-48.8825,0.0,0.14526604092679912,0.0064029255299828496,0.6182998535223305,0.06738031050190325,0.10538529038240083,0.026972066843882127,0.0302935180952772
19,abakaliki-53-ng,africa/lagos,6.31625,8.11691,0.0,0.1553338815184431,0.013205144307607664,0.22543241176339515,0.11059253837309412,0.29849883119188286,0.07244712051647462,0.12449006985099834
20,abakaliki-53-ng,africa/lagos,6.31625,8.11691,1.0,0.0895955950215769,0.0012733734450496633,0.3617434518256535,0.06842193750975029,0.4025273199775256,0.028491012470719057,0.047947320047145026
21,abakan-31-ru,asia/krasnoyarsk,53.71556,91.42917,0.0,0.0294910185039043,0.0021647587418556,0.0412146970629692,0.0664369687438011,0.76241534948349,0.0490730255842208,0.0492042265832424
22,abakan-31-ru,asia/krasnoyarsk,53.71556,91.42917,1.0,0.07959087193012232,0.0021221703209448,0.799896851181984,0.0579970236867666,0.018889037484768726,0.0253657419234514,0.016138286213390474
23,abbotsford-02-ca,america/vancouver,49.05798,-122.25257,0.0,0.17119199690966208,0.007877626196930916,0.4769201406423489,0.1382510701558589,0.08565116969806039,0.05057327276316275,0.06953472189047237
24,abbotsford-02-ca,america/vancouver,49.05798,-122.25257,1.0,0.17024463797921266,0.01113577149514526,0.47854367552441934,0.14967966334267888,0.08442303427680702,0.045126085842142886,0.06084712049707849
25,abbottabad-03-pk,asia/karachi,34.14685,73.21449,0.0,0.06313710065253941,0.0009907265780924096,0.6804298474866532,0.05743795030433469,0.03721943390288707,0.12599102896874542,0.03479392613072899
26,abbottabad-03-pk,asia/karachi,34.14685,73.21449,1.0,0.14710070059767788,0.0014303850350967427,0.5506712522889886,0.13022394649617902,0.013349607245930028,0.14600573493433847,0.011218409818996236
27,abeokuta-16-ng,africa/lagos,7.15,3.35,0.0,0.07741163534182345,0.002268907831784609,0.2598603022620922,0.2571250936079313,0.23753402707415783,0.07868751010894155,0.08711252919444251
