,location,region,lat,lon,prediction,status_id,code,user_id,probability,Author,twitter_id,# mv_care_virtue,# mv_care_vice_harm,# mv_fairness_virtue,# mv_fairness_vice_cheating,# mv_loyalty_virtue,# mv_loyalty_vice_betrayal,# mv_authority_virtue,# mv_authority_vice_subversion,# mv_sanctity_virtue,# mv_sanctity_vice_degradation,# mv_liberty_virtue,# mv_liberty_vice_oppression
17,abadan-15-ir,asia/tehran,30.3392,48.3043,1.0,1.5979242470534226e+18,738006.0,8.175195752145265e+17,0.7047304043006973,8.175195752145265e+17,1.5979242470534226e+18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,abaetetuba-16-br,america/belem,-1.71806,-48.8825,0.0,1.5988602001523354e+18,126397.0,2.7773586098556384e+17,0.0828640059781223,2.7773586098556384e+17,1.5988602001523354e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
19,abakaliki-53-ng,africa/lagos,6.31625,8.11691,0.0,1.598605575869806e+18,378451.0,7.418505146833219e+17,0.3949745561860966,7.418505146833219e+17,1.598605575869806e+18,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.034482758620689655
20,abakaliki-53-ng,africa/lagos,6.31625,8.11691,1.0,1.598949135050618e+18,378451.0,1.1056250955484406e+18,0.805105339737872,1.1056250955484406e+18,1.598949135050618e+18,0.3333333333333333,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,abakan-31-ru,asia/krasnoyarsk,53.71556,91.42917,0.0,1.6007152861515612e+18,238871.0,1.255790347881513e+18,0.5123668979679139,1.255790347881513e+18,1.6007152861515612e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,abakan-31-ru,asia/krasnoyarsk,53.71556,91.42917,1.0,1.600445767134548e+18,238871.0,3376120528.0,0.7963259926583983,3376120528.0,1.600445767134548e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,abbotsford-02-ca,america/vancouver,49.05798,-122.25257,0.0,1.5991925773054374e+18,255405.0,7.132554248602596e+17,0.34416354757180095,7.132554248602596e+17,1.5991925773054374e+18,0.050119331742243436,0.028639618138424822,0.02386634844868735,0.00477326968973747,0.13126491646778043,0.0,0.028639618138424822,0.007159904534606206,0.05489260143198091,0.05489260143198091,0.045346062052505964,0.016706443914081145
24,abbotsford-02-ca,america/vancouver,49.05798,-122.25257,1.0,1.5992958801107712e+18,255405.0,8.397694816798803e+17,0.8104863862168921,8.397694816798803e+17,1.5992958801107712e+18,0.04672897196261682,0.018691588785046728,0.009345794392523364,0.009345794392523364,0.06542056074766354,0.009345794392523364,0.018691588785046728,0.009345794392523364,0.08411214953271028,0.009345794392523364,0.08411214953271028,0.009345794392523364
25,abbottabad-03-pk,asia/karachi,34.14685,73.21449,0.0,1.597470382837571e+18,323092.0,1.3374408260867428e+18,0.39404826356118083,1.3374408260867428e+18,1.597470382837571e+18,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0
26,abbottabad-03-pk,asia/karachi,34.14685,73.21449,1.0,1.5981360163270336e+18,323092.0,7.323694220829536e+17,0.8164008251573157,7.323694220829536e+17,1.5981360163270336e+18,0.0,0.5,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
